ID;text;group
15;it be a test of the first reusable tool Pointy so they can find they or so they will stick into their pant well and be close to their brain;2
16;Size of army duration number of casualty both absolute and as a percentage of those involve geographical area and number of country too be all measure of size in this case I 'd say the relevant statistic would be the number of combatant total troop compare to total casualty from among the total civilian population in the affect geographical area Vietnam and Korea might make good comparison western news in general but in particular the american mass medium CBS NBC ABC etc the general tone of the news during the whole war be one of those poor poor Iraqis along with look how precisely this cruise missile blow this building to bit I agree perhaps so and maybe the atomic bomb be a mistake too but that be easy to say from our enlightened viewpoint here in the 90 's right back then it be   all out   war and Germany and Japan have to be squash after all a million or more british have already die hundred of thousand of French a couple hundread thousand or so Americans and million of Russians not to mention a few million Jews Poles and other people of slavic descent in german concentration camp all thing consider the fire bombing and the atomic bomb be essential and therefore justify in bring the war to a quick end to avoid even great allied loss I for one do n't regret it sure and it 's the people who suffer because of they all the more reason to depose these entrenched political ruler operate in their own selfish interest or do you mean that this apply to the ally as well I make no claim or effort to justify the misguided foreign policy of the West before the war it be evident that the West especially America misjudge Hussein drastically but once Hussein invade Kuwait and threaten to militarily corner a significant portion of the world 's oil supply he have to be stop sure the war could have be prevent by judicious and concerted effort on the part of the West before Hussein invade Kuwait but it be still   Hussein   who be responsible for his decision to invade and once he do so a strong response from the West be require well it be not very loving to allow a Hussein or a Hitler to gobble up nearby country and keep they or to allow they to continue with mass slaughter of certain people under their dominion so I 'd have to say yes stop Hussein be the most love thing to do for the most people involve once he set his mind on military conquest I mention it if we had n't intervene allow Hussein to keep Kuwait then it would have be appeasement it be precisely the lesson the world learn in WW2 that motivate the western alliance to war let Hitler take Austria and Czechoslavkia do not stop WW2 from happen and let Hussein keep Kuwait would not have stop an eventual Gulf War to protect Saudi Arabia sure what be truly unfortunate be that they follow Hitler in his grandiose quest for a Thousand Year Reich the consequence stem from that what should I say about they anything in particular so it be the   policeman   on trial not Rodney King and under american law they deserve a jury of   their   peer if there have be black officer involve I 'm sure their would have be black juror too this point of allegedly racial motivation be really shallow so It 's hard to imagine so when have Argument from Incredulity gain acceptance from the revered author of construct a Logical Argument can we expect another revision soon just kid I have to admit that I wonder this too but   neither   the prosecution nor the defense be talk so one can not conclude either way due to the silence of the principal ok it certainly seem to I that there be excessive force involve and frankly the original not guilty verdict baffle I too but then I learn that the prosecution in the first case do not try to convict on a charge of excessive force or simple assault which they probably would have win they try to get a conviction on a charge of aggravate assault with intent to inflict serious bodily harm a charge which news commentator say be akin to attempt murder under California law base on what the prosecution be ask for it 's evident that the first jury decide that the officer be not guilty note not not guilty of do wrong but not guilty of aggravate assault with the   intent   of inflict serious bodily harm the seed of the prosecution defeat be in their own overconfidence in obtain a verdict such that they go for the most extreme charge they could if the fact as the news commentator present they be true then I feel the not guilty verdict be a reasonable one thank mathew I like the quote pretty funny actually I 'm a Monty Python fan you know kind of seem in that vein of course oversimplify any moral argument can make it seem contradictory but then you know that already regard;0
17;  stuff delete   you mean like second minute hour day month year remember the Fahrenheit temperature scale be also a centigrade scale some revisionist tell the history something like this the cold point in a particular russian winter be mark on the thermometer as be the body temperature of a volunteer turn out he be sick but you ca n't win 'em all then the space in between the mark on the thermometer be then divide into hundredth tttttttt:- FWIW Doug Page;2
18;it was n't especially prominent as I recall however quite possibly it 's no long on display- nasm like most museum have much more stuff than it can display at once and do rotate the display occasionally;2
19;DM   fact or rumor Madalyn Murray O'Hare an atheist who eliminate the DM   use of the bible reading and prayer in public school 15 year ago be now DM   go to appear before the FCC with a petition to stop the reading of the DM   Gospel on the airway of America and she be also campaign to remove DM   Christmas program song etc from the public school if it be true DM   then mail to Federal Communications Commission 1919 H Street Washington DC DM   20054 express your opposition to her request Reference Petition number DM   2493 False this story have be go around for year There be not a drop of truth note that I do n't care for O'Hare O'Hair myself but this be one thing she 's not guilty of;3
20;if by that you mean anything on the GD approach there be an article on it in a recent Avation Week I do n't remember the exact date but it be recent Allen;2
21;the 68070 be a variation of the 68010 that be do a few year ago by the european partner of Motorola it have some integrate I   o controller and half a MMU but otherwise it be a 68010 think of it the same as the 8086 and 80186 be ttburkhard Neidecker Lutz;1
22;PSA 145:9 the LORD be good to all and his tender mercy be over all his work;3
23;there have be a lot of discussion about Tyre in sum Ezekiel prophesy that the place would be mash and never rebuilt- as there be a lot of people live there it would appear that Ezekiel be not literally correct this does n't bother I at all because I understand the language Ezekiel use differently than do so call biblical literalist for example it sometimes happen that someone say my grandson be the cut baby and then turn around and see the granddaughter and say oh Is n't she the cut thing this person be not literally claim to have line up all the baby in the world accord to cuteness and discover his own grandchild tie for first rather he be try to express his emotion use word that be very object orient because this example be one that be common to many people nobody misunderstand the intent of the statements- the Bible however be often at the mercy of people who assume that everything within must be exactly literally true for those people the existence of Tyre be a problem- for I it be not turn to the late person try to defend Ezekiel we read this from John E King no it imply nothing of the kind if you have nothing but the prophecy from Ezekiel and you be tell you interpret it literally you would never say oh he mean that there will be house and business and plant and stuff like that you would read I will make you a bare rock and you will never be rebuild and you 'd conclude that Tyre would be a bare rock the only way to get from   fishing nets to   house and building and a medium large population be if you know that all that latter stuff be there in other word your answer mean that Ezekiel mislead everybody who read the prophecy at the time it be write there be no way that give a literal reading they could read this passage and conclude medium size city you seem to feel that never be rebuild mean be rebuild maybe so but it be hardly a   clear implication well no That 's only a bit less than the population of Annapolis where I 'm from you know the Naval Acadamy the state capital George Washington resign his commission in the statehouse Annapolis may not be New York but it 's at least a two horse town but suppose 22,000 people be a small town it 's still 22,000 people MORE than Ezekiel predict and you 've say nothing about the other problem in chapter 26 Ezekiel predict that Nebuchadnezzar will will destroy Tyre and loot all their valuable however Nebuchadnezzar do not destroy Tyre and in chapter 29 Ezekiel even quote God as say he and his army get no reward from the campaign he lead against Tyre Let 's ignore Alexander for a moment and just pay attention to chapter 26 Ezekiel say N. would destroy Tyre and N. do not destroy Tyre Ezekiel say that N. would plunder their valuable but N. do not plunder their valuable regardless of what you think about Tyre   now   the fact be that N. die before the place be destroy Ezekiel say N. be go to do it and N. do not   this post be of course pointless inerrantist have an amazing ability to rewrite the Bible as need to fit whatever they want it to say for example I expect Mr King to respond to the comment about Ezekiel 26 by pull some clear implication out of hat when Ezekiel say that N. would demolish your tower that clearly imply that the wall would still be stand so people would know where the tower use to be and when Ezekiel say that N. would demolish your fine house and throw your stone timber and rubble into the sea that clearly imply that N. would never set foot on the island and when Ezekiel write that N. would build a ramp up to your wall that clearly imply that N. would spend 13 year stomp around on the mainland and never get close to the wall see a few clear implication that be totally contrary to the text and you can reconcile anything you want;3
24;about a year ago I start work on a problem that appear to be very simple and turn out to be quite difficult I be wonder if anyone on the net have see this problem and hopefully some publish solution to it tthe problem be to draw an outline of a surface define by two roughly parallel cubic spline for input the problem essentially start with two set of point where each set of point be on the edge of an object which we treat as two dimensional i.e. only extant between the edge but which exist in three dimensional space to draw the object we 1 fit a cubic spline through the point each spline be effectively tcompute as a sequence of line segment approximate the curve each spline have an equal number of segment we assume tthat the nth segment along each spline be roughly but not texactly the same distance along each spline by any reasonable tmeasure 2 take each segment n along each spline and match it to the nth segment tof the oppose spline use the pair of segment to form two ttriangle which will be fill in to color the surface 3 depth sort the triangle 4 take each triangle in sorted order project onto a 2D pixmap draw tand color the triangle take the edge of the triangle that be talong the edge of the surface and draw a line along that edge tcolore with a special edge color tIt be the edge color in step 4 that be at the heart of the problem the idea be to effectively outline the edge of the surface the net result however generally have lot of break and gap in the edge of the surface the reason for this be fairly complicated they involve both rasterization problem and problem result from the project the spline if anything about this problem sound familiar we would appreciate know about other work in this area;1
25;I need the file format for cc mail file format it seem to be PCX base but with a twist only the first page of a multi page fax will come out readable the other page disappear the format seem to be proprietary anybody get any clue I have to give my email FAXes to my secretary in order to get 'em unscrambled I want a filter from cc mail to .pnbm come to think of it pnbm to cc mail would be nice too;1
27;I 've get a 386 20hz computer which be under warranty and my Trident 8900C video card be start to play up surprise surprise therefore I 'm go to try to exchange it for a well card the BIG Question be which video card be high quality and with an acceptable price tag on student budget;1
29;tplease do and if you do n't want to post it here email to I I do n't know how this discussion be appreciate here I hate invading newsgroup with theme of limited interest;3
30;actually my atheism be base on ignorance ignorance of the existence of any god do n't fall into the atheist do n't believe because of their pride mistake   Bob Beauchaine bobbevice ICO.TEK.COM they say that Queens could stay they blow the Bronx away and sink Manhattan out at sea;0
31;you might be sure but you would also be wrong;3
32;my package be base on several article about non standard radiosity and some unpublished method the main article be Cohen Chen Wallace Greenberg a Progressive Refinement Approach to fast Radiosity Image Generation Computer Graphics SIGGRAPH V. 22(no 4 pp 75 84 August 1988 Silion Puech a General Two Pass Method Integrating Specular and Diffuse Reflection Computer Graphics SIGGRAPH v23(no 3 pp335 344 July 1989 I do not use hemi cube I have no special hardware SUN SPARCstation use anonymous as username and your e mail address as password Stephan Stephan Amann SIG Computer Graphics University of Berne Switzerland amanniam.unibe.ch t Tel 41 31 65 46 79 t Fax 41 31 65 39 65 project Radiosity Raytracing Computer Graphics;1
33;sorry I miss you Raymond I be just out in Dahlgren last month i 'm the Virtual Reality market manager for Silicon Graphics so perhaps I can help a little unfortunately while SGI system be use to create the special effect for both Terminator 2 and Lawnmower Man those be film quality computer graphic render in software and write to film a frame at a time each frame of computer animation for those film take hour to render on high end parallel processing computer system thus that level of graphic would be difficult if not impossible to acheive in real time 30 frame per second it depend upon how serious you be and how advanced your application be true immersive visualization VR require the rendering of complex visual database at anywhere from 20 to 60 newly render frame per second this be a similar requirement to that of traditional flight simulator for pilot training if the frame rate be too low the user notice the stepping of the frame as they move their head rapidly around the scene so the motion of the graphic be not smooth and contiguous thus the graphic system must be powerful enough to sustain high frame rate while render complex data representation additionally the frame rate must be constant if the system render 15 frame per second at one point then 60 frame per second the next perhaps due to the scene in the new view direction be simple than what be visible before the user can get heavily distract by the medium the graphic computer rather than focus on the datum to maintain a constant frame rate the system must be able to run in real time UNIX in general do not support real time operation but Silicon Graphics have modify the UNIX kernel for its multi processor system to be able to support real time operation bypass the usual UNIX process priority management scheme Uniprocessor system run UNIX can not fundamentally support real time operation not Sun sparc10 not HP 700 series system not IBM RS-6000 not even SGI 's uniprocessor system like Indigo or Crimson only our multiprocessor Onyx and Challenge system support real time operation due to their Symmetric Multi processing SMP share memory architecture from a graphic perspective render complex virtual environment require advanced render technique like texture mapping and real time multi sample anti aliase of all of the general purpose graphic system on the market today only Crimson RealityEngine and Onyx RealityEngine2 system fully support these capability the anti aliasing be particularly important as the crawl jagged edge of aliase polygon be an unfortunate distraction when immerse in a virtual environment you can use the general purpose graphic library list above to develop VR application but that be start at a pretty low level there be off the- shelf software package available to get you go much fast be target directly at the VR application developer some of the most popular be in no particular order t- Division Inc.tt Redwood City CA dVS t- Sens8 Inc.tt Sausalito CA WorldToolKit t- Naval Postgraduate School Monterey CA NPSnet FREE t- Gemini Technology Corp Irvine CA GVS Simation Series t- Paradigm Simulation Inc. Dallas TX VisionWorks AudioWorks t- Silicon Graphics Inc.t Mountain View CA IRIS Performer there be some other but not off the top of my head t there be too many to list here but here be a smattering t- Fake Space Labst Menlo Park CA BOOM t- Virtual Technologies Inc. Stanford CA CyberGlove t- Digital Image Designt New York NY the Cricket 3d input t- Kaiser Electro opticst Carlsbad CA Sim Eye Helmet Displays t- Virtual Researcht Sunnyvale CA Flight Helmet display t- Virtual Reality Inc.t Pleasantville NY Head Mtd Displays s   w t- Software Systemst San Jose CA 3d Modeling software t- etc etc etc read some of the VR book on the market t- Virtual Reality Ken Pimental and Ken Texiera sp t- Virtual Mirage t- Artificial Reality Myron Kreuger t- etc or check out the newsgroup sci.virtualworld feel free to contact I for more info Regards Josh;1
34;if you force I to do something be I morally responsible for it well make up your mind be it to be instinctive not to murder or not It 's not even correct animal of the same specie do kill one another Sigh I wonder how many time we have be round this loop I think that instinctive bahaviour have no moral significance I be quite prepared to believe that high animal such as primate have the beginning of a moral sense since they seem to exhibit self awareness so what be you try to say that some killing in animal have a moral significance and some do not be this your natural morality   be you blind what do you think that this sentence mean tthere must be the possibility that the organism it 's not tjust people we be talk about can consider alternative what would that imply I find the fact that they do to be significant;0
35;here be some recent observation take by the Hubble Space Telescope o the Faint object Spectrograph FOS be use to make ultraviolet observation of both the planet Pluto and its moon Charon the peakup be successful the observation be execute as schedule and no problem be report o Observations be make use the High Speed Photometer of the Planet Uranus during an occultation by a faint star in Capricornus these observation will help in our understanding of the planet 's atmospheric radiative and dynamical process this event occur close to the last quarter moon and special arrangement have to be make to modify the lunar limit test to allow these observation the observation be currently be review and all the observation look okay;2
36;I guess that be why scientist probably are n't mention either or stock broker or television repairman It 's precious to know just how deep the brainwashing from childhood that it take to progress a religion clean away a very substantial part of the reasoning neuron but do n't mind me- I do n't exist;0
37;HI all can someone point I towards some article on boids or flock algorithm also article on particle animation formula would be nice                                                                                                                                                     DeLuxe 1.25   8086   Head of Co    XV   Hi this be a signature virus Co;1
38;seem he did n't understand anything about reality liar lunatic or the real thing be a very narrow view of the possibility of Jesus message Sigh it seem religion make your mind   brain filter out anything that do not fit into your personal scheme so anyone that think the possibility with Jesus be bind to the classical Lewis notion of liar lunatic or saint be indeed bind to become a Christian cheer Kent;0
39;how could this possibly be environmental vandalism when there be no environment to vandalize up there since the advertising be just to help defray cost it 's certainly no surprise that the taxpayer would bear most of the expense sound like a good idea to I since the taxpayer would bear   all   of the expense if they did n't do the advertising great idea they should have do it long ago I ca n't believe that a mile long billboard would have any significant effect on the overall sky brightness Venus be visible during the day but nobody complain about that besides it 's in LEO so it would only be visible during twilight when the sky be already bright and even if it would have some miniscule impact it would be only for a short time as it goes zip across the sky no doubt People be always look for something to protest about so it would be no surprise well look on the er bright side imagine the look on the face of people in primitive tribe out in the middle of nowhere as they look up and see a can of Budweiser fly across the sky :-D;2
40;as I be create in the image of Gaea therefore I must be the pinnacle of creation she which create she which Births she which continue or to cut all the religious crap I 'm a woman thank and it 's sexism that start I on the road to atheism Maddi Hausmann madhausnetcom.com Centigram Communications Corp San Jose California 408428 3553;0
41;also remember that every dollar spend keep one spacecraft in safe mode probably a spin stabilize sun point orientation be a dollar not spend on mission analysis for a new spacecraft in order to turn the spacecraft back on you either need to insure that the Ops guy will be available or you need to retrain a new team having say that there be some spacecraft that do what you have propose many of the operational satellite Goddard fly like the Tiros NOAA series require more than one satellite in orbit for an operational set Extras which get replace on orbit be power into a standby mode for use in an emergency in that case however the same op team be still require to fly the operational birds- so the standby maintenance be relatively cheap finally Pat 's explanation some spacecraft require continuous maintenance to stay under control be also right on the mark I suggest a spin- stabilize control mode because it would require little power or maintenance but it still might require some momentum dump from time to time in the end it   be   a political decision since the difference be money but there be some technical rationale behind the decision;2
42;my turn to jump in I think you mean circular not recursive but that be semantic recursiveness have no problem it be just horribly inefficient just ask any assembly programmer the oft quote line that say people should be guarantee life liberty and the pursuit of happiness as inalienable right be a complete lie and deception as the very author of that line be in the process of prove Liberty be never free it be always purchase at some cost almost always at the cost to another who s liberty be more inalienable similarly for right of life when one person must die if he be to save another or even a group of other who s life be more inalienable that lead into the classic question of the value of the death penalty especially for serial killer who s life and liberty be more valuable the serial killer or the victim accord to that beautiful line those two right should be completely inviolate that is noone should be able to remove they this   include   government admittedly the serial killer have restrict some people 's life andor liberty but be not his own life   liberty inviolate also accord to the declaration of independence it be Oooh I like that it mean that kill an infant be not murder because it can not be against its will Reason an infant have no will as such similarly for people who be brain dead easy to see in a coma etc also under current law accidental killing be still murder how will you include that the only real golden rule in life be he who have the gold make the rule I.e. might make right that be survival now what be wrong with that if you mean the golden rule as I state yes almost every system as implement have use that in reality sorry I do n't deal as much in fiction as I do in reality welcome to OZLAND what be not arbitrary if you can find some part of society some societal rule moral etc that be not arbitrary please tell I I do n't think there be any sound like euphemism to I the difference seem to be that objective be some reasoning that I like while arbitrary be some reasoning that I do n't like or do n't understand;0
43;hello I be search for render software which have be develop to specifically take advantage of multi processor computer system any pointer to such software would be greatly appreciate thank;1
44;I be look for comment from people who have use   hear about PhotoShop for Windows be it good how do it compare to the Mac version be there a lot of bug I hear the Windows version need fine tuning any comment would be greatly appreciate thank you;1
45;so why do I read in the paper that the Qumram text have different version of some ot text do I misunderstand;0
46;from what I read the other fellow tell Salameh how to put it together over the phone the bomb be supposedly some sort of sophisticated type so to put a I assume complicated sophisticated bomb together from instruction   over the phone   one must need some brain I would expect I read this in an article in the Australian Muslim Times the newspaper weekly of the Australian Muslim community if this be true perhaps one of the Muslims base in North America if they see this posting can elaborate I do n't deny this fact the thrust of my argument here be that a Salameh be accord to US law innocent as he have not be find guilty in a court of law as his guilt have not be establish it be wrong for people to make posting base on this assumption b Islam teach we   not   to harm innocent if Muslims who perhaps have not realize that Islam teach this perform such action it be   not    because   of the teaching of Islam but rather   in spite of   and   in contradiction to   the teaching of Islam this be an important distinction I should clarify what Muslims usually mean when they say Muslim in general anyone who call themselves a Muslim and do not do or outwardly profess something in clear contradiction with the essential teaching of Islam be consider to be a Muslim thus one who might do thing contrary to Islam through ignorance for example do not suddenly   not   become a Muslim if one knowingly transgress islamic teaching and essential principle though then one do leave Islam the term Muslim be to be contrast with Mu'min which mean true believer however whether a Muslim be in reality a Mu'min be something know only by God and perhaps that person himself so you will not find the term Mu'min use very much by Muslims in alt.atheism because it be not know to anybody except myself and God whether I for example be a true believer or not for example I could just be put on a show here and in reality believe something opposite to what I write here without anyone know thus when we say Muslims we mean all those who outwardly profess to follow Islam whether in practice they might in ignorance transgress islamic teaching by Muslim we do not necessarily mean Mu'min or true believer in Islam;0
47;I will clarify my early quote god 's law be originally write for the Israelites Jesus change that fact by now make the Law applicable to all people not just the Jews gentile could be part of the kingdom of Heaven through the save grace of God I never say that the Law be make obsolete by Jesus if anything he clarify the Law such as in that quote you make in the follow verse Jesus take several portion of the Law and expound upon the Law give clear meaning to what God intend if you 'll notice he also ream into the Pharisees for muck up the Law with their own contrived interpretation they know every letter of the Law and follow it with their head but not their heart that be why he point out that our righteousness must surpass that of the Pharisees in order to be accept into the kingdom of Heaven People such as the Pharisees be those who really go out of their way to debate about the number of angel that can dance on the head of a pin they have become legalistic rule maker religious lawyer who practice the letter of the Law but never really believe in it I think you will agree with I that there be in today 's world a lot of modern day Pharisees who know the bible from end to end but do not believe in it what good be head knowledge if there be nothing in the heart Christianity be not just a set of rules- it 's a lifestyle that change one 's perspective and personal conduct and it demand obedience to God 's will some people can live by it but many other can not or will not that be their choice and I have to respect it because God respect it too God be with you;3
48;sorry but mormon are n't generally consider to be Christians;3
49;very easily show they picture of crime scene perpetrate by christian terrorist in this country if that does n't convince they have they talk to the victim of christian terrorism a brutal act of terrorism inspire by Christian propoganda be recently commit on your very campus its very simple religious extremist of all religion put no value on human life christian and islamic fundamentalist put advance there religion above all else even if do so violate the religion itself P.S. I 'm not say all Christians be terrorist I 'm use Christian terrorist in the same way the medium use islamic terrorist;3
50;  accord to the TIFF 5.0 Specification the TIFF version number   byte 2 3 42 have be choose for its deep philosophical   significance   last week I read the Hitchhikers Guide to the Galaxy and rotfl the   second time after million of year of calculation the second good   computer of all time reveal that 42 be the answer to the question   about life the universe and everything   be this actually how they pick the number 42   do anyone have any other suggestion where the 42 come from at this moment the King who have be for some time busily write in his note book call out Silence and read out from his book Rule Forty two all person more than a mile high to leave the court everybody look at Alice I 'm not a mile high say Alice you be say the King nearly two mile high add the queen well I sha'n't go at any rate say Alice- besides that be not a regular rule you invent it just now It 's the old rule in the book say the King then it ought to be Number one say Alice;1
51;be breathable liquid possible I remember see an old Nova or the nature of thing where this idea be touch upon it might have be some other tv show if nothing else I know such liquid be possible because they show a large glass full of this liquid and put a white mouse rat in it since the liquid be not dense the mouse would float so it be hold down by tong clutch its tail the thing struggle quite a bit but it be certainly hold down long enough so that it be breathe the liquid it never do slow down in its frantic attempt to swim to the top now this may not have be the most humane of demonstration but it certainly show breathable liquid can be make;2
